Customer ID,Total_Spending,Avg_Order_Value,Order_Count,Total_Quantity,Avg_Quantity,Customer_Type
12422,4428.24,33.3,133,2226,16.74,Retail
12423,763.08,19.08,40,454,11.35,Retail
12424,1579.07,25.47,62,1285,20.73,Retail
12425,964.21,17.53,55,651,11.84,Retail
12426,762.48,16.22,47,326,6.94,Retail
12427,303.5,30.35,10,79,7.9,Retail
12429,3735.51,49.15,76,1787,23.51,Retail
12431,4370.52,25.71,170,1811,10.65,Retail
12433,7205.39,25.19,286,6045,21.14,Retail
12434,297.29,14.86,20,138,6.9,Retail
12435,6096.04,80.21,76,2903,38.2,Retail
12437,7731.99,21.24,364,5078,13.95,Retail
12439,1142.88,16.1,71,478,6.73,Retail
12440,859.2,26.85,32,331,10.34,Retail
12441,173.55,15.78,11,121,11.0,Retail
12443,485.31,23.11,21,182,8.67,Retail
12445,301.58,15.08,20,144,7.2,Retail
12449,768.6,76.86,10,729,72.9,Wholesale
12450,490.32,16.91,29,314,10.83,Retail
12451,3634.36,23.15,157,2784,17.73,Retail
12454,13151.44,526.06,25,6697,267.88,Wholesale
12455,3413.09,24.91,137,1213,8.85,Retail
12457,632.68,28.76,22,251,11.41,Retail
12458,830.09,18.05,46,480,10.43,Retail
12459,454.36,19.75,23,258,11.22,Retail
12460,326.65,18.15,18,170,9.44,Retail
12466,56.73,56.73,1,1,1.0,Retail
12467,132.8,14.76,9,129,14.33,Retail
12468,2941.2,26.26,112,1835,16.38,Retail
12469,3070.54,40.4,76,2552,33.58,Retail
12470,211.95,9.22,23,95,4.13,Retail
12471,20129.54,29.78,676,8658,12.81,Retail
12472,11308.48,19.77,572,7202,12.59,Retail
12474,5048.66,17.65,286,3107,10.86,Retail
12475,426.26,17.05,25,236,9.44,Retail
12476,7267.49,25.86,281,3223,11.47,Retail
12477,7056.63,26.73,264,2466,9.34,Retail
12480,2183.22,24.81,88,1245,14.15,Retail
12481,6765.07,38.88,174,3949,22.7,Retail
12482,23691.4,116.13,204,27042,132.56,Wholesale
12483,2612.2,41.46,63,1050,16.67,Retail
12484,1826.78,14.27,128,1079,8.43,Retail
12485,708.1,20.83,34,414,12.18,Retail
12486,1037.28,21.17,49,523,10.67,Retail
12487,285.3,142.65,2,174,87.0,Wholesale
12490,4405.71,20.3,217,2842,13.1,Retail
12492,452.0,20.55,22,252,11.45,Retail
12494,626.77,18.43,34,281,8.26,Retail
12495,357.4,21.02,17,130,7.65,Retail
12496,45.34,4.53,10,30,3.0,Retail
12497,5205.4,121.06,43,4449,103.47,Wholesale
12499,393.72,14.58,27,302,11.19,Retail
12500,1697.39,19.97,85,699,8.22,Retail
12503,1126.0,563.0,2,561,280.5,Wholesale
12504,297.0,27.0,11,368,33.45,Retail
12505,955.2,22.74,42,324,7.71,Retail
12507,539.25,19.26,28,362,12.93,Retail
12510,4195.45,37.46,112,1696,15.14,Retail
12511,3084.02,16.23,190,1753,9.23,Retail
12514,580.08,17.58,33,400,12.12,Retail
12516,1336.56,27.84,48,1077,22.44,Retail
12519,385.7,17.53,22,212,9.64,Retail
12523,2562.58,17.92,143,1398,9.78,Retail
12524,6640.39,69.17,96,3479,36.24,Retail
12525,973.73,16.23,60,509,8.48,Retail
12527,386.8,27.63,14,292,20.86,Retail
12529,316.48,15.07,21,192,9.14,Retail
12530,2096.98,22.79,92,1800,19.57,Retail
12531,1807.98,16.44,110,1074,9.76,Retail
12533,1367.89,19.0,72,704,9.78,Retail
12537,732.94,17.05,43,449,10.44,Retail
12538,276.5,21.27,13,145,11.15,Retail
12539,5646.4,24.44,231,2468,10.68,Retail
12540,8854.25,30.22,293,4334,14.79,Retail
12542,481.88,12.36,39,522,13.38,Retail
12543,980.25,22.8,43,688,16.0,Retail
12547,175.78,13.52,13,175,13.46,Retail
12549,1575.68,32.16,49,1366,27.88,Retail
12553,916.47,19.5,47,360,7.66,Retail
12554,468.5,18.02,26,240,9.23,Retail
12555,129.23,129.23,1,1,1.0,Retail
12557,6725.18,269.01,25,2398,95.92,Wholesale
12562,1185.18,30.39,39,548,14.05,Retail
12563,249.24,19.17,13,113,8.69,Retail
12567,4308.58,22.32,193,1781,9.23,Retail
12568,70.0,14.0,5,48,9.6,Retail
12570,77.52,77.52,1,1,1.0,Retail
12573,556.87,6.12,91,395,4.34,Retail
12575,622.82,16.39,38,315,8.29,Retail
12576,826.89,15.31,54,527,9.76,Retail
12577,990.5,6.52,152,722,4.75,Retail
12578,1847.94,31.86,58,1184,20.41,Retail
12580,637.2,18.74,34,331,9.74,Retail
12582,1469.04,18.14,81,685,8.46,Retail
12583,7166.06,32.72,219,3924,17.92,Retail
12586,1865.73,22.48,83,608,7.33,Retail
12588,743.88,20.66,36,385,10.69,Retail
12589,4048.98,27.92,145,1458,10.06,Retail
12591,886.1,21.1,42,425,10.12,Retail
12592,2145.06,34.05,63,1585,25.16,Retail
12594,1751.89,21.63,81,991,12.23,Retail
12595,299.02,15.74,19,271,14.26,Retail
12598,1511.01,20.42,74,942,12.73,Retail
12599,1264.14,17.8,71,1233,17.37,Retail
12600,2444.88,35.95,68,640,9.41,Retail
12601,104.2,17.37,6,45,7.5,Retail
12605,1232.95,16.22,76,929,12.22,Retail
12606,21.0,21.0,1,1,1.0,Retail
12608,415.79,25.99,16,323,20.19,Retail
12609,2309.01,20.08,115,905,7.87,Retail
12613,3472.99,20.08,173,2513,14.53,Retail
12615,3449.79,20.91,165,1941,11.76,Retail
12616,417.8,18.99,22,214,9.73,Retail
12619,140.14,14.01,10,140,14.0,Retail
12621,11086.14,36.59,303,6493,21.43,Retail
12623,3442.74,22.21,155,1780,11.48,Retail
12625,2481.06,25.58,97,1697,17.49,Retail
12629,1558.22,34.63,45,722,16.04,Retail
12631,2841.07,18.69,152,1371,9.02,Retail
12632,804.88,23.0,35,694,19.83,Retail
12633,3514.18,17.14,205,2076,10.13,Retail
12634,490.0,24.5,20,337,16.85,Retail
12635,1241.23,15.91,78,777,9.96,Retail
12636,141.0,141.0,1,1,1.0,Retail
12637,2280.91,9.83,232,1263,5.44,Retail
12638,249.8,27.76,9,86,9.56,Retail
12639,826.27,19.67,42,430,10.24,Retail
12643,4960.18,183.71,27,2857,105.81,Wholesale
12644,1440.58,18.01,80,707,8.84,Retail
12645,1764.12,20.28,87,1041,11.97,Retail
12647,14201.53,33.1,429,5447,12.7,Retail
12648,793.95,18.04,44,358,8.14,Retail
12649,1671.14,19.21,87,1373,15.78,Retail
12651,263.75,12.56,21,187,8.9,Retail
12652,97.05,32.35,3,31,10.33,Retail
12653,1950.98,45.37,43,762,17.72,Retail
12655,261.35,16.33,16,80,5.0,Retail
12656,2356.66,19.48,121,1137,9.4,Retail
12661,162.0,14.73,11,216,19.64,Retail
12662,3138.24,17.83,176,1523,8.65,Retail
12663,239.4,23.94,10,181,18.1,Retail
12664,1188.16,148.52,8,292,36.5,Retail
12665,250.6,17.9,14,128,9.14,Retail
12666,1248.42,40.27,31,370,11.94,Retail
12668,7575.88,20.2,375,3415,9.11,Retail
12670,764.24,33.23,23,230,10.0,Retail
12671,2622.48,58.28,45,1460,32.44,Retail
12672,211.15,17.6,12,60,5.0,Retail
12673,619.5,19.36,32,349,10.91,Retail
12675,957.25,8.55,112,336,3.0,Retail
12676,1511.7,24.38,62,1197,19.31,Retail
12677,395.1,18.81,21,176,8.38,Retail
12678,16652.72,78.92,211,11449,54.26,Wholesale
12681,17080.74,20.65,827,10060,12.16,Retail
12682,11745.69,22.85,514,5443,10.59,Retail
12683,4220.21,21.42,197,2696,13.69,Retail
12686,89.14,12.73,7,107,15.29,Retail
12687,2138.91,16.98,126,1403,11.13,Retail
12691,134.6,19.23,7,51,7.29,Retail
12692,110.95,8.53,13,36,2.77,Retail
12693,847.11,21.18,40,281,7.02,Retail
12694,973.68,21.17,46,846,18.39,Retail
12695,825.02,25.78,32,234,7.31,Retail
12696,851.91,17.39,49,564,11.51,Retail
12698,339.75,21.23,16,111,6.94,Retail
12699,638.11,15.56,41,373,9.1,Retail
12701,1648.7,17.54,94,1049,11.16,Retail
12703,722.98,13.64,53,431,8.13,Retail
12705,4893.81,18.47,265,3191,12.04,Retail
12708,2601.19,17.0,153,1214,7.93,Retail
12709,21107.94,72.79,290,9999,34.48,Retail
12711,1339.05,22.32,60,770,12.83,Retail
12712,2797.53,19.56,143,1287,9.0,Retail
12714,9384.85,21.48,437,5705,13.05,Retail
12717,277.93,17.37,16,94,5.88,Retail
12720,2478.94,15.99,155,1645,10.61,Retail
12721,1356.95,17.4,78,696,8.92,Retail
12724,1286.11,16.92,76,934,12.29,Retail
12725,2266.76,21.38,106,1142,10.77,Retail
12726,1405.5,25.55,55,1475,26.82,Retail
12727,1698.83,26.54,64,734,11.47,Retail
12728,233.84,15.59,15,124,8.27,Retail
12730,829.25,17.64,47,234,4.98,Retail
12731,6879.8,57.81,119,3204,26.92,Retail
12733,2040.92,15.12,135,759,5.62,Retail
12734,529.25,35.28,15,177,11.8,Retail
12737,3710.5,1855.25,2,2,1.0,Wholesale
12738,155.35,14.12,11,148,13.45,Retail
12739,1713.69,33.6,51,465,9.12,Retail
12741,406.07,25.38,16,214,13.38,Retail
12742,1201.52,17.93,67,1359,20.28,Retail
12744,4037.77,34.51,117,1753,14.98,Retail
12745,925.41,40.24,23,468,20.35,Retail
12746,254.55,14.97,17,97,5.71,Retail
12747,5061.03,33.08,153,1473,9.63,Retail
12748,22457.9,8.87,2531,13109,5.18,Retail
12749,2806.48,20.19,139,889,6.4,Retail
12751,268.27,4.33,62,189,3.05,Retail
12755,5218.71,86.98,60,2290,38.17,Retail
12758,7111.65,32.92,216,4020,18.61,Retail
12759,3489.3,16.86,207,2300,11.11,Retail
12760,347.8,16.56,21,198,9.43,Retail
12761,782.95,29.0,27,281,10.41,Retail
12763,320.08,20.0,16,196,12.25,Retail
12765,1404.58,20.66,68,1009,14.84,Retail
12766,3078.65,21.23,145,1800,12.41,Retail
12767,949.82,22.09,43,598,13.91,Retail
12768,168.69,16.87,10,102,10.2,Retail
12770,1895.0,118.44,16,1100,68.75,Wholesale
12771,282.3,18.82,15,104,6.93,Retail
12773,124.25,20.71,6,109,18.17,Retail
12774,98.7,16.45,6,53,8.83,Retail
12775,300.08,20.01,15,206,13.73,Retail
12776,55.5,13.88,4,46,11.5,Retail
12777,519.45,19.98,26,458,17.62,Retail
12778,953.45,14.9,64,910,14.22,Retail
12779,2740.91,21.41,128,1617,12.63,Retail
12780,337.4,16.87,20,285,14.25,Retail
12782,2287.32,18.45,124,931,7.51,Retail
12784,1230.33,17.09,72,582,8.08,Retail
12785,788.45,18.77,42,322,7.67,Retail
12786,728.5,40.47,18,324,18.0,Retail
12787,398.52,16.6,24,249,10.38,Retail
12788,444.9,17.11,26,194,7.46,Retail
12789,181.5,45.38,4,32,8.0,Retail
12790,266.93,16.68,16,140,8.75,Retail
12791,863.51,30.84,28,353,12.61,Retail
12792,426.47,19.39,22,177,8.05,Retail
12793,471.85,17.48,27,231,8.56,Retail
12796,381.0,54.43,7,182,26.0,Retail
12797,552.08,18.4,30,215,7.17,Retail
12798,1533.89,61.36,25,3199,127.96,Wholesale
12799,219.35,14.62,15,137,9.13,Retail
12800,584.25,17.18,34,284,8.35,Retail
12801,1071.82,21.44,50,505,10.1,Retail
12802,1988.84,17.6,113,1658,14.67,Retail
12803,1092.81,19.87,55,872,15.85,Retail
12804,325.37,4.93,66,270,4.09,Retail
12805,1434.95,24.74,58,593,10.22,Retail
12806,2878.96,42.97,67,2087,31.15,Retail
12807,330.35,20.65,16,145,9.06,Retail
12808,422.45,16.25,26,187,7.19,Retail
12809,1266.63,22.62,56,298,5.32,Retail
12810,534.99,16.72,32,389,12.16,Retail
12811,519.05,20.76,25,205,8.2,Retail
12813,1687.8,37.51,45,1141,25.36,Retail
12817,524.94,25.0,21,166,7.9,Retail
12819,540.52,28.45,19,344,18.11,Retail
12820,1747.18,17.47,100,1242,12.42,Retail
12821,128.08,18.3,7,92,13.14,Retail
12823,4742.0,364.77,13,700,53.85,Wholesale
12825,518.63,21.61,24,139,5.79,Retail
12826,1481.03,19.75,75,937,12.49,Retail
12829,92.3,11.54,8,174,21.75,Retail
12831,236.06,18.16,13,168,12.92,Retail
12835,5996.83,9.75,615,2349,3.82,Retail
12836,3949.37,16.66,237,1169,4.93,Retail
12837,528.56,6.95,76,170,2.24,Retail
12838,2694.75,9.13,295,1479,5.01,Retail
12839,4480.31,17.1,262,3042,11.61,Retail
12840,1315.2,20.88,63,747,11.86,Retail
12841,3472.61,12.54,277,2609,9.42,Retail
12842,799.0,57.07,14,340,24.29,Retail
12843,4881.1,42.08,116,2247,19.37,Retail
12844,322.64,6.33,51,98,1.92,Retail
12846,15.58,15.58,1,1,1.0,Retail
12847,765.36,21.87,35,624,17.83,Retail
12848,208.0,13.0,16,58,3.62,Retail
12849,2032.18,21.17,96,1258,13.1,Retail
12850,330.0,165.0,2,200,100.0,Wholesale
12851,148.95,4.96,30,51,1.7,Retail
12853,1950.4,27.86,70,868,12.4,Retail
12854,1654.72,10.89,152,1004,6.61,Retail
12855,612.84,9.15,67,240,3.58,Retail
12857,2581.6,34.42,75,1077,14.36,Retail
12858,147.27,3.98,37,51,1.38,Retail
12859,575.1,27.39,21,292,13.9,Retail
12860,54.22,3.39,16,26,1.62,Retail
12861,68.25,17.06,4,27,6.75,Retail
12862,984.62,7.52,131,611,4.66,Retail
12863,2271.35,52.82,43,707,16.44,Retail
12864,152.45,38.11,4,231,57.75,Wholesale
12865,1755.24,17.55,100,1048,10.48,Retail
12866,668.23,18.06,37,382,10.32,Retail
12867,3819.92,7.4,516,3592,6.96,Retail
12868,640.0,16.41,39,354,9.08,Retail
12869,337.67,9.13,37,144,3.89,Retail
12870,1676.95,18.03,93,906,9.74,Retail
12871,363.38,51.91,7,284,40.57,Retail
12872,3062.52,8.37,366,1526,4.17,Retail
12873,1653.3,53.33,31,658,21.23,Retail
12874,948.42,19.76,48,623,12.98,Retail
12875,1013.76,168.96,6,3168,528.0,Wholesale
12876,1863.77,21.93,85,1106,13.01,Retail
12877,1406.37,11.72,120,1059,8.82,Retail
12880,640.13,17.78,36,279,7.75,Retail
12887,222.4,17.11,13,100,7.69,Retail
12889,385.46,15.42,25,124,4.96,Retail
12890,329.3,5.88,56,201,3.59,Retail
12891,509.5,63.69,8,1375,171.88,Wholesale
12892,263.38,14.63,18,140,7.78,Retail
12894,157.35,7.49,21,33,1.57,Retail
12897,297.75,29.78,10,139,13.9,Retail
12898,296.21,10.97,27,235,8.7,Retail
12899,366.4,21.55,17,108,6.35,Retail
12900,340.33,26.18,13,139,10.69,Retail
12903,833.53,20.33,41,493,12.02,Retail
12905,1018.42,18.86,54,532,9.85,Retail
12907,508.91,20.36,25,177,7.08,Retail
12908,1026.0,342.0,3,1800,600.0,Wholesale
12909,924.52,13.8,67,668,9.97,Retail
12910,2721.48,43.89,62,1940,31.29,Retail
12911,1651.72,7.0,236,807,3.42,Retail
12913,4217.23,91.68,46,1813,39.41,Retail
12914,223.98,24.89,9,336,37.33,Retail
12915,811.1,15.9,51,359,7.04,Retail
12916,1534.78,22.24,69,598,8.67,Retail
12917,3765.2,78.44,48,984,20.5,Retail
12918,10953.5,10953.5,1,1,1.0,Wholesale
12920,323.86,10.12,32,292,9.12,Retail
12921,19333.95,23.75,814,12182,14.97,Retail
12923,597.6,18.68,32,162,5.06,Retail
12924,1535.7,34.9,44,942,21.41,Retail
12925,35.28,7.06,5,108,21.6,Retail
12926,1523.97,5.82,262,754,2.88,Retail
12927,197.31,17.94,11,145,13.18,Retail
12928,2242.19,23.6,95,1427,15.02,Retail
12931,50291.38,369.79,136,34902,256.63,Wholesale
12932,1698.56,17.88,95,1609,16.94,Retail
12933,1029.1,5.62,183,450,2.46,Retail
12934,181.65,90.82,2,31,15.5,Retail
12935,2083.16,16.67,125,1348,10.78,Retail
12937,1593.34,16.43,97,976,10.06,Retail
12939,13683.0,350.85,39,5452,139.79,Wholesale
12941,377.49,13.98,27,381,14.11,Retail
12942,258.75,16.17,16,69,4.31,Retail
12943,496.5,19.86,25,222,8.88,Retail
12945,437.16,15.61,28,281,10.04,Retail
12946,324.45,16.22,20,149,7.45,Retail
12947,304.04,17.88,17,184,10.82,Retail
12948,252.48,28.05,9,224,24.89,Retail
12949,11359.48,22.72,500,5852,11.7,Retail
12951,2149.65,16.41,131,1159,8.85,Retail
12953,498.96,16.1,31,280,9.03,Retail
12954,162.45,16.24,10,83,8.3,Retail
12956,413.82,17.99,23,306,13.3,Retail
12957,4689.43,18.61,252,2137,8.48,Retail
12958,467.34,9.54,49,118,2.41,Retail
12959,150.95,18.87,8,109,13.62,Retail
12960,1322.07,18.89,70,1379,19.7,Retail
12961,211.99,5.3,40,180,4.5,Retail
12963,1744.96,18.37,95,928,9.77,Retail
12964,132.24,5.09,26,56,2.15,Retail
12967,2646.02,43.38,61,834,13.67,Retail
12969,122.45,24.49,5,55,11.0,Retail
12970,1048.13,4.85,216,686,3.18,Retail
12971,4782.88,39.86,120,5298,44.15,Retail
12972,1161.2,15.08,77,844,10.96,Retail
12973,385.55,64.26,6,31,5.17,Retail
12974,264.15,11.01,24,80,3.33,Retail
12975,2100.09,18.75,112,911,8.13,Retail
12976,2417.78,18.32,132,2123,16.08,Retail
12977,474.64,9.69,49,116,2.37,Retail
12978,2502.82,15.35,163,1394,8.55,Retail
12979,517.7,9.24,56,520,9.29,Retail
12980,8870.88,277.22,32,1024,32.0,Retail
12982,2354.27,15.7,150,1441,9.61,Retail
12983,490.08,16.34,30,638,21.27,Retail
12986,2729.84,26.76,102,1164,11.41,Retail
12987,753.51,19.83,38,366,9.63,Retail
12989,6627.64,200.84,33,3992,120.97,Wholesale
12990,546.0,39.0,14,280,20.0,Retail
12991,261.06,18.65,14,78,5.57,Retail
12992,93.35,15.56,6,21,3.5,Retail
12993,844.87,17.24,49,511,10.43,Retail
12996,355.5,16.16,22,122,5.55,Retail
12997,884.02,18.42,48,522,10.88,Retail
12998,920.08,15.86,58,1124,19.38,Retail
13000,497.65,16.05,31,169,5.45,Retail
13001,14256.68,21.03,678,7958,11.74,Retail
13002,293.18,18.32,16,128,8.0,Retail
13004,5994.94,14.59,411,3946,9.6,Retail
13005,485.98,16.2,30,290,9.67,Retail
13007,175.25,15.93,11,59,5.36,Retail
13008,382.66,18.22,21,204,9.71,Retail
13009,234.0,58.5,4,120,30.0,Retail
13010,330.12,27.51,12,323,26.92,Retail
13011,50.55,16.85,3,13,4.33,Retail
13012,1310.99,20.17,65,739,11.37,Retail
13013,7814.83,23.33,335,4239,12.65,Retail
13014,1914.8,16.65,115,1074,9.34,Retail
13015,3240.14,18.73,173,1918,11.09,Retail
13018,2485.46,17.14,145,1311,9.04,Retail
13019,1229.95,22.36,55,397,7.22,Retail
13020,618.96,15.87,39,278,7.13,Retail
13021,2270.86,18.02,126,1194,9.48,Retail
13022,65.3,13.06,5,35,7.0,Retail
13023,759.13,21.09,36,299,8.31,Retail
13024,555.87,17.93,31,181,5.84,Retail
13025,323.39,24.88,13,241,18.54,Retail
13026,757.72,18.04,42,846,20.14,Retail
13027,10327.2,175.04,59,25560,433.22,Wholesale
13029,679.8,97.11,7,60,8.57,Retail
13030,402.36,7.06,57,174,3.05,Retail
13031,3292.84,8.09,407,2309,5.67,Retail
13032,1805.78,13.28,136,899,6.61,Retail
13033,30.0,15.0,2,15,7.5,Retail
13034,279.91,15.55,18,153,8.5,Retail
13035,442.32,29.49,15,282,18.8,Retail
13036,307.1,51.18,6,38,6.33,Retail
13037,3033.88,16.49,184,1699,9.23,Retail
13039,1010.73,18.38,55,290,5.27,Retail
13041,799.13,22.83,35,335,9.57,Retail
13042,1488.59,8.09,184,812,4.41,Retail
13044,4287.58,11.19,383,2119,5.53,Retail
13045,503.64,18.65,27,184,6.81,Retail
13046,319.94,15.24,21,241,11.48,Retail
13047,5557.62,24.92,223,2038,9.14,Retail
13048,2229.72,17.15,130,1433,11.02,Retail
13049,751.56,62.63,12,352,29.33,Retail
13050,6477.67,10.81,599,3449,5.76,Retail
13051,155.8,38.95,4,72,18.0,Retail
13052,2771.18,12.05,230,1202,5.23,Retail
13053,127.65,7.51,17,47,2.76,Retail
13055,1106.7,14.19,78,927,11.88,Retail
13056,209.48,11.03,19,158,8.32,Retail
13057,709.59,17.74,40,456,11.4,Retail
13059,2108.37,11.1,190,825,4.34,Retail
13063,188.4,15.7,12,116,9.67,Retail
13064,561.25,22.45,25,154,6.16,Retail
13065,1055.05,17.02,62,381,6.15,Retail
13067,393.05,23.12,17,99,5.82,Retail
13069,5185.51,7.89,657,9481,14.43,Retail
13070,522.9,21.79,24,262,10.92,Retail
13071,129.22,10.77,12,30,2.5,Retail
13073,418.08,15.48,27,261,9.67,Retail
13074,1378.74,47.54,29,826,28.48,Retail
13076,135.4,15.04,9,44,4.89,Retail
13077,2326.35,9.98,233,1909,8.19,Retail
13078,16904.51,38.16,443,6553,14.79,Retail
13079,199.08,18.1,11,96,8.73,Retail
13080,222.65,17.13,13,73,5.62,Retail
13081,30867.77,23.21,1330,22355,16.81,Retail
13082,3722.12,66.47,56,4142,73.96,Wholesale
13083,91.68,22.92,4,120,30.0,Retail
13084,122.4,61.2,2,144,72.0,Wholesale
13085,2017.2,32.54,62,728,11.74,Retail
13086,439.33,9.35,47,155,3.3,Retail
13087,313.64,20.91,15,86,5.73,Retail
13088,236.11,11.81,20,76,3.8,Retail
13089,57885.45,37.54,1542,29125,18.89,Retail
13090,5189.32,40.86,127,1181,9.3,Retail
13091,1976.0,82.33,24,873,36.38,Retail
13092,1662.45,20.78,80,385,4.81,Retail
13093,47111.18,52.87,891,22266,24.99,Retail
13094,505.8,63.22,8,372,46.5,Retail
13096,419.7,419.7,1,6,6.0,Retail
13097,7320.88,12.56,583,2985,5.12,Retail
13101,594.21,13.82,43,365,8.49,Retail
13102,5272.83,28.05,188,2372,12.62,Retail
13103,465.7,18.63,25,344,13.76,Retail
13104,610.62,61.06,10,330,33.0,Retail
13105,72.0,72.0,1,100,100.0,Wholesale
13106,526.96,35.13,15,213,14.2,Retail
13107,3721.45,31.01,120,3023,25.19,Retail
13108,748.46,21.38,35,745,21.29,Retail
13109,347.49,15.11,23,237,10.3,Retail
13110,1468.8,13.73,107,375,3.5,Retail
13111,321.88,26.82,12,180,15.0,Retail
13112,20.6,10.3,2,11,5.5,Retail
13113,6357.08,34.0,187,1495,7.99,Retail
13114,234.38,14.65,16,74,4.62,Retail
13115,3199.92,16.49,194,2367,12.2,Retail
13117,1658.9,14.81,112,1122,10.02,Retail
13118,1217.6,17.65,69,424,6.14,Retail
13119,134.9,12.26,11,110,10.0,Retail
13123,506.75,11.26,45,268,5.96,Retail
13124,885.33,14.51,61,619,10.15,Retail
13125,148.62,7.43,20,53,2.65,Retail
13126,1898.61,17.1,111,1266,11.41,Retail
13128,263.5,263.5,1,31,31.0,Retail
13129,233.25,21.2,11,296,26.91,Retail
13131,2240.47,21.34,105,1076,10.25,Retail
13133,90.65,18.13,5,23,4.6,Retail
13134,681.65,29.64,23,305,13.26,Retail
13135,275.45,16.2,17,123,7.24,Retail
13136,3666.95,19.51,188,1781,9.47,Retail
13137,3983.65,5.63,707,2034,2.88,Retail
13138,504.85,14.02,36,245,6.81,Retail
13139,3138.04,33.03,95,2189,23.04,Retail
13140,790.71,10.54,75,461,6.15,Retail
13141,5267.33,18.23,289,3611,12.49,Retail
13143,405.1,17.61,23,198,8.61,Retail
13144,24.4,8.13,3,8,2.67,Retail
13145,805.0,201.25,4,121,30.25,Retail
13148,4814.56,10.68,451,2522,5.59,Retail
13150,449.97,56.25,8,171,21.38,Retail
13151,1207.34,14.37,84,450,5.36,Retail
13152,2146.38,15.9,135,977,7.24,Retail
13154,1624.84,17.47,93,976,10.49,Retail
13155,778.42,9.85,79,412,5.22,Retail
13156,1586.54,15.26,104,914,8.79,Retail
13157,3946.14,24.06,164,3323,20.26,Retail
13158,307.12,14.62,21,208,9.9,Retail
13161,359.38,14.38,25,76,3.04,Retail
13162,7587.2,47.72,159,4042,25.42,Retail
13163,17.65,8.82,2,3,1.5,Retail
13164,372.2,37.22,10,120,12.0,Retail
13165,429.68,61.38,7,360,51.43,Wholesale
13166,458.73,16.99,27,306,11.33,Retail
13167,333.82,20.86,16,222,13.88,Retail
13168,541.14,11.51,47,228,4.85,Retail
13169,127.2,25.44,5,24,4.8,Retail
13172,69.6,69.6,1,48,48.0,Retail
13173,2212.11,11.29,196,1318,6.72,Retail
13174,6621.6,8.31,797,3116,3.91,Retail
13175,831.45,18.08,46,423,9.2,Retail
13177,229.75,17.67,13,89,6.85,Retail
13178,8333.72,19.75,422,5208,12.34,Retail
13179,572.31,16.83,34,368,10.82,Retail
13180,86.1,21.52,4,42,10.5,Retail
13181,359.69,18.93,19,171,9.0,Retail
13183,3078.4,49.65,62,1819,29.34,Retail
13187,105.34,5.54,19,201,10.58,Retail
13190,570.66,33.57,17,308,18.12,Retail
